W,L,yearID,nameGiven,NameLast,teamID
89,73,1987,Louis Victor,Piniella,NYA
89,73,1989,John Aloysius,McKeon,SDN
89,73,1992,Johnny Lane,Oates,BAL
89,73,1998,Dudley Michael,Hargrove,CLE
89,73,2004,Johnnie B.,Baker,CHN
89,73,2004,William Nathaniel,Showalter,TEX
89,73,2005,Philip Mason,Garner,HOU
89,73,2006,Michael Lorri,Scioscia,LAA
89,73,2007,Charles Fuqua,Manuel,PHI
89,73,2008,Joseph Elliott,Girardi,NYA
89,73,2010,Terry Jon,Francona,BOS
89,73,2011,Fredi Jesus,Gonzalez,ATL
89,73,2012,Michael Lorri,Scioscia,LAA
89,73,2014,Edgar Frederick,Yost,KCA
89,73,2016,William Nathaniel,Showalter,BAL
89,73,2016,John Michael,Gibbons,TOR
89,74,1998,Johnnie B.,Baker,SFN
89,74,2007,Harry Ralston,Black,SDN
89,74,2008,Oswaldo Jose,Guillen,CHA
88,63,1909,Frederick Lovett,Lake,BOS
88,63,1913,Charles Sebastian,Dooin,PHI
88,64,1908,Fielder Allison,Jones,CHA
88,64,1925,Cornelius Alexander,Mack,PHA
88,65,1904,Joseph James,Kelley,CIN
88,65,1913,John Joseph,Evers,CHN
88,65,1914,William Corcoran,Phillips,IND
88,65,1940,Leo Ernest,Durocher,BRO
88,65,1945,Stephen Francis,O'Neill,DET
88,66,1917,Leo Alexander,Fohl,CLE
88,66,1926,Tristram E.,Speaker,CLE
88,66,1940,Joseph Vincent,McCarthy,NYA
88,66,1941,William Boyd,McKechnie,CIN
88,66,1944,Stephen Francis,O'Neill,DET
88,66,1952,Edward Raymond,Stanky,SLN
88,66,1956,Alfonso Ramon,Lopez,CLE
88,66,1960,Charles Walter,Dressen,ML1
88,68,1959,Walter Emmons,Alston,LAN
88,73,1973,Edward Michael,Kasko,BOS
88,73,1978,Charles William,Tanner,PIT
88,74,1963,Alvin Ralph,Dark,SFN
88,74,1964,Robert Randall,Bragan,ML1
88,74,1968,Herman Louis,Franks,SFN
88,74,1973,John Aloysius,McKeon,KCA
88,74,1973,Charles Francis,Fox,SFN
88,74,1974,Daniel Edward,Murtaugh,PIT
