nameFirst,nameLast
Rick,Rodriguez
Rosario,Rodriguez
Ruben,Rodriguez
Vic,Rodriguez
Mike,Roesler
Jimmy,Rogers
Kenny,Rogers
Kevin,Rogers
Dave,Rohde
Dan,Rohrmeier
Mel,Rojas
Jose,Roman
Ron,Romanick
Mandy,Romero
Kevin,Romine
Marc,Ronan
Rolando,Roomes
Victor,Rosario
Bobby,Rose
Pete,Rose
Steve,Rosenberg
Wayne,Rosenthal
Rico,Rossy
Wade,Rowdon
Rich,Rowland
Stan,Royer
Matt,Ruebel
Scott,Ruffcorn
Bruce,Ruffin
Scott,Ruskin
Jeff,Russell
John,Russell
Mark,Ryal
Ken,Ryan
Bret,Saberhagen
Chris,Sabo
A. J.,Sager
Mark,Salas
Angel,Salazar
Tim,Salmon
Bill,Sampen
Juan,Samuel
Roger,Samuels
Alex,Sanchez
Israel,Sanchez
Rey,Sanchez
Deion,Sanders
Reggie,Sanders
Scott,Sanders
Mo,Sanford
Andres,Santana
F. P.,Santangelo
Benito,Santiago
Nelson,Santovenia
Kazuhiro,Sasaki
Mackey,Sasser
Doug,Saunders
Rich,Sauveur
Jack,Savage
Steve,Sax
Bob,Scanlan
Steve,Scarsone
Jeff,Schaefer
Rich,Scheid
Curt,Schilling
Calvin,Schiraldi
Dick,Schofield
Mike,Schooler
Pete,Schourek
Steve,Schrenk
Rick,Schu
Erik,Schullstrom
Jeff,Schulz
Don,Schulze
Mike,Schwabe
Jeff,Schwarz
Darryl,Scott
Dick,Scott
Donnie,Scott
Gary,Scott
Tim,Scott
Jim,Scranton
Tony,Scruggs
Scott,Scudder
Rudy,Seanez
Steve,Searcy
Bob,Sebra
Larry,See
David,Segui
Jose,Segura
Ricky,Seilheimer
Kevin,Seitzer
Jeff,Sellers
Frank,Seminara
Scott,Servais
Scott,Service
Mike,Sharperson
Jon,Shave
Jeff,Shaver
Jeff,Shaw
Danny,Sheaffer
Gary,Sheffield
Scott,Sheldon
Ben,Shelton
Keith,Shepherd
Ron,Shepherd
Darrell,Sherman
Tim,Sherrill
Tommy,Shields
Steve,Shifflett
Zak,Shinall
Craig,Shipley
Brian,Shouse
Terry,Shumpert
Joe,Siddall
Candy,Sierra
Ruben,Sierra
Dave,Silvestri
Nelson,Simmons
Mike,Simms
Doug,Simons
Matt,Sinatro
Steve,Sisco
Joe,Skalski
Joel,Skinner
Heathcliff,Slocumb
Joe,Slusarski
Craig,Smajstrla
Mark,Small
John,Smiley
Chuck,Smith
Dan,Smith
Dar,Smith
Dwight,Smith
Greg,Smith
Keith,Smith
Mike,Smith
Mike,Smith
Pete,Smith
Roy,Smith
Willie,Smith
Zane,Smith
Roger,Smithberg
John,Smoltz
Van,Snider
J. T.,Snow
Cory,Snyder
Luis,Sojo
Julio,Solano
Paul,Sorrento
Sammy,Sosa
Steve,Sparks
Tim,Spehr
Stan,Spencer
Bill,Spiers
Jerry,Spradlin
Ed,Sprague
Dennis,Springer
Russ,Springer
Steve,Springer
Randy,St. Claire
Matt,Stairs
Pete,Stanicek
Steve,Stanicek
Andy,Stankiewicz
